Date	DAT	Time	TrayID	POT	Plant_ID	Position	TRT	Site
29.06.2022	127	29.06.2022 9:15	31_T_137-381-651	31	137	A1	T	D
29.06.2022	127	29.06.2022 9:15	31_T_137-381-651	31	381	A2	T	T
29.06.2022	127	29.06.2022 9:15	31_T_137-381-651	31	651	A3	T	P
29.06.2022	127	29.06.2022 9:16	109_T_303-231-807	109	303	A1	T	T
29.06.2022	127	29.06.2022 9:16	109_T_303-231-807	109	231	A2	T	T
29.06.2022	127	29.06.2022 9:16	109_T_303-231-807	109	807	A3	T	P
29.06.2022	127	29.06.2022 9:17	166_C_140-384-654	166	140	A1	C	D
29.06.2022	127	29.06.2022 9:17	166_C_140-384-654	166	384	A2	C	T
29.06.2022	127	29.06.2022 9:17	166_C_140-384-654	166	654	A3	C	P
29.06.2022	127	29.06.2022 9:19	260_C_571-265-535	260	571	A1	C	P
29.06.2022	127	29.06.2022 9:19	260_C_571-265-535	260	265	A2	C	T
29.06.2022	127	29.06.2022 9:19	260_C_571-265-535	260	535	A3	C	P
29.06.2022	127	29.06.2022 9:20	32_T_138-382-652	32	138	A1	T	D
29.06.2022	127	29.06.2022 9:20	32_T_138-382-652	32	382	A2	T	T
29.06.2022	127	29.06.2022 9:20	32_T_138-382-652	32	652	A3	T	P
29.06.2022	127	29.06.2022 9:21	126_T_569-263-533	126	569	A1	T	P
29.06.2022	127	29.06.2022 9:21	126_T_569-263-533	126	263	A2	T	T
29.06.2022	127	29.06.2022 9:21	126_T_569-263-533	126	533	A3	T	P
29.06.2022	127	29.06.2022 9:23	167_C_141-385-655	167	141	A1	C	D
29.06.2022	127	29.06.2022 9:23	167_C_141-385-655	167	385	A2	C	T
29.06.2022	127	29.06.2022 9:23	167_C_141-385-655	167	655	A3	C	P
29.06.2022	127	29.06.2022 9:24	127_T_573-267-537	127	573	A1	T	P
29.06.2022	127	29.06.2022 9:24	127_T_573-267-537	127	267	A2	T	T
29.06.2022	127	29.06.2022 9:24	127_T_573-267-537	127	537	A3	T	P
29.06.2022	127	29.06.2022 9:25	78_T_47-473-743	78	47	A1	T	D
29.06.2022	127	29.06.2022 9:25	78_T_47-473-743	78	473	A2	T	T
29.06.2022	127	29.06.2022 9:25	78_T_47-473-743	78	743	A3	T	P
29.06.2022	127	29.06.2022 9:27	82_T_55-483-753	82	55	A1	T	D
29.06.2022	127	29.06.2022 9:27	82_T_55-483-753	82	483	A2	T	T
29.06.2022	127	29.06.2022 9:27	82_T_55-483-753	82	753	A3	T	P
29.06.2022	127	29.06.2022 9:28	168_C_142-386-656	168	142	A1	C	D
29.06.2022	127	29.06.2022 9:28	168_C_142-386-656	168	386	A2	C	T
29.06.2022	127	29.06.2022 9:28	168_C_142-386-656	168	656	A3	C	P
29.06.2022	127	29.06.2022 9:29	261_C_572-266-536	261	572	A1	C	P
29.06.2022	127	29.06.2022 9:29	261_C_572-266-536	261	266	A2	C	T
29.06.2022	127	29.06.2022 9:29	261_C_572-266-536	261	536	A3	C	P
29.06.2022	127	29.06.2022 9:30	149_C_31-349-619	149	31	A1	C	D
29.06.2022	127	29.06.2022 9:30	149_C_31-349-619	149	349	A2	C	T
29.06.2022	127	29.06.2022 9:30	149_C_31-349-619	149	619	A3	C	P
29.06.2022	127	29.06.2022 9:32	124_T_567-261-531	124	567	A1	T	P
29.06.2022	127	29.06.2022 9:32	124_T_567-261-531	124	261	A2	T	T
29.06.2022	127	29.06.2022 9:32	124_T_567-261-531	124	531	A3	T	P
29.06.2022	127	29.06.2022 9:33	15_T_29-347-617	15	29	A1	T	D
29.06.2022	127	29.06.2022 9:33	15_T_29-347-617	15	347	A2	T	T
29.06.2022	127	29.06.2022 9:33	15_T_29-347-617	15	617	A3	T	P
29.06.2022	127	29.06.2022 9:34	76_T_6-471-741	76	6	A1	T	D
29.06.2022	127	29.06.2022 9:34	76_T_6-471-741	76	471	A2	T	T
29.06.2022	127	29.06.2022 9:34	76_T_6-471-741	76	741	A3	T	P
29.06.2022	127	29.06.2022 9:36	35_T_145-388-658	35	145	A1	T	D
